Ramal;Tempo_Chamadas;QTD_Chamadas;Data
100;0.62;9;2025-04-17 15:26:40
101;101.68;432;2025-04-17 12:32:19
102;156.57;369;2025-04-17 15:54:52
103;373.25;633;2025-04-17 14:39:36
106;108.32;292;2025-04-17 15:28:04
107;400.73;1683;2025-04-17 15:48:28
108;91.35;402;2025-04-17 11:32:47
110;11.78;52;2025-04-16 11:25:43
111;91.42;603;2025-04-17 16:29:30
112;228.95;1092;2025-04-17 16:17:18
113;27.07;221;2025-04-17 12:32:11
114;79.37;598;2025-04-17 15:05:39
115;301.63;1146;2025-04-16 17:31:32
116;33.72;45;2025-04-07 16:08:06
117;36.33;80;2025-04-15 14:15:19
118;108.08;720;2025-04-17 16:38:44
119;15.30;57;2025-04-07 16:47:57
120;129.55;422;2025-04-17 11:17:02
122;96.75;840;2025-04-17 11:35:36
123;121.43;382;2025-04-17 16:12:13
124;183.35;1016;2025-04-17 16:29:51
125;190.37;590;2025-04-17 12:02:10
127;293.78;1180;2025-04-16 16:50:07
128;70.25;418;2025-04-17 15:37:34
129;78.75;627;2025-04-17 16:28:34
130;32.27;193;2025-04-16 13:10:31
131;71.95;325;2025-04-17 13:21:36
133;62.45;481;2025-04-16 17:50:37
134;15.80;156;2025-04-09 11:16:44
135;39.57;274;2025-04-16 11:00:44
136;77.03;892;2025-04-17 16:41:49
137;72.27;642;2025-04-17 16:09:03
138;26.28;230;2025-04-14 11:14:23
139;33.68;114;2025-04-17 12:43:27
140;166.17;488;2025-04-17 14:48:52
141;11.33;141;2025-04-17 16:40:38
142;8.93;73;2025-04-17 16:05:14
143;32.77;325;2025-04-17 16:37:50
